uniq,relid,year,active_year,code_status,type_of_violence,source_article,source_original,conflict_id,conflict_name,dyad_id,dyad_name,side_a,side_a_id,side_b,side_b_id,where_location,where_prec,country,isocc,isonumber,gwno,region,adm1,adm2,lat,lng,geocomment,priogrid_gid,date_start,date_end,date_prec,event_type,deaths_a,deaths_b,civilian_deaths,unknown,best_est,high_est,low_est,deathsplit,dyad_unique,geom_wkt
18500,NIG-1990-2-259-1,1990,0,clear,2,Reuters news  11-Oct-1990,police commisioner,259,Tiv - Junkun,259,Tiv - Junkun,Tiv,1911,Junkun,1821,Gongola state (Ubang village),4,Nigeria,NGA,566,475,Africa,Gongola,,8.5,11.5,Unknown location  coded by ADM1,142224,9/25/1990,10/10/1990,0,2,0,0,0,9,9,9,9,0,20259,POINT(11.5 8.5)
18504,NIG-1990-3-475-1,1990,1,clear,3,"ICG Africa report no 115, referring to a 1999 HRW report, The Price of Oil, and a Chrsitian Aid report from 2004, Sustained Misery: Shell in the Niger delta  ",Eye witnesses,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,Etche LGA  Rivers State (Umuechem village),3,Nigeria,NGA,566,475,Africa,Rivers,Etche,4.990833,7.054444,Unknown location. Coded by ADM2. Chokocho used as centroid.,136455,10/30/1990,10/31/1990,0,2,0,0,80,0,80,80,80,0,30475,POINT(7.054444 4.990833)
18507,NIG-1991-2-373-1.1,1991,1,clear,2,Reuters news  23-Apr-91,newspaper reporters in the region,373,Christians (Nigeria) - Muslims (Nigeria),373,Christians (Nigeria) - Muslims (Nigeria),Christians (Nigeria),1899,Muslims (Nigeria),1900,Bauchi town  Bauchi State,1,Nigeria,NGA,566,475,Africa,Bauchi,Bauchi,10.313441,9.843273,,144380,4/19/1991,4/22/1991,0,2,0,0,0,75,75,125,50,1,20373,POINT(9.843273 10.313441)
18508,NIG-1991-2-373-1.2,1991,1,clear,2,Reuters news  23-Apr-91,newspaper reporters in the region,373,Christians (Nigeria) - Muslims (Nigeria),373,Christians (Nigeria) - Muslims (Nigeria),Christians (Nigeria),1899,Muslims (Nigeria),1900,Tafawa Balewa town  Bauchi State,1,Nigeria,NGA,566,475,Africa,Bauchi,Tafawa Balewa,9.7583333,9.5572222,,143660,4/19/1991,4/22/1991,0,2,0,0,0,75,75,125,50,1,20373,POINT(9.5572222 9.7583333)
18514,NIG-1991-2-259-1,1991,1,clear,2,Reuters news  2-Jan-92,Vice President Augustus Aikhomu's office,259,Tiv - Junkun,259,Tiv - Junkun,Tiv,1911,Junkun,1821,Wukari area  Taraba state,3,Nigeria,NGA,566,475,Africa,Taraba,Wukari,7.85,9.783333,Wukari town used as centroid for Wukari LGA.,140780,10/1/1991,10/31/1991,0,2,0,0,0,30,30,1050,30,0,20259,POINT(9.783333 7.85)
18515,NIG-1991-2-373-2,1991,1,clear,2,Reuters news  15-Oct-91,Nigerian military authorities,373,Christians (Nigeria) - Muslims (Nigeria),373,Christians (Nigeria) - Muslims (Nigeria),Christians (Nigeria),1899,Muslims (Nigeria),1900,Kano town  Kano State,1,Nigeria,NGA,566,475,Africa,Kano,Kano,11.994354,8.513807,,146538,10/14/1991,10/15/1991,2,3,0,0,0,8,8,300,8,0,20373,POINT(8.513807 11.994354)
18519,NIG-1992-2-259-1,1992,1,clear,2,Reuters news  20-Feb-92,,259,Tiv - Junkun,259,Tiv - Junkun,Tiv,1911,Junkun,1821,Wukari area  Taraba state,3,Nigeria,NGA,566,475,Africa,Taraba,Wukari,7.85,9.783333,Wukari town used as centroid for Wukari LGA.,140780,2/1/1992,2/20/1992,0,2,0,0,0,0,0,950,0,0,20259,POINT(9.783333 7.85)
18520,NIG-1992-2-259-2,1992,1,clear,2,"BBC Monitoring Service: Africa, 11 February 1992, ""Tribal fighting in east leaves 100 people dead.""",the independent Nigerian daily 'Punch' ,259,Tiv - Junkun,259,Tiv - Junkun,Tiv,1911,Junkun,1821,Taraba State,4,Nigeria,NGA,566,475,Africa,Taraba,,8,10.5,,141502,2/4/1992,2/4/1992,1,1,0,0,0,100,100,100,100,0,20259,POINT(10.5 8)
18521,NIG-1992-3-475-2,1992,0,clear,3,Reuters 1992-02-07,police official  local newspapers,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,Lagos town. Lagos State,1,Nigeria,NGA,566,475,Africa,Lagos,Lagos,6.453056,3.395833,,138607,2/5/1992,2/5/1992,1,1,0,0,1,0,1,1,1,0,30475,POINT(3.395833 6.453056)
18524,NIG-1992-2-373-1,1992,1,clear,2,"Reuters news, 16-Mar-92, Zinn, Anna,  "Theory versus Reality: Civil War Onset and Avoidance in Nigeria since 1960"" inUnderstanding Civil War: Evidence and Analysis.Paul Collier and Nicholas Sambanis 2005. Washington DC  (1)  March 1992: Christian vs Muslims in Taraba state  claims 200 deaths., the News Agency of Nigeria (NAN) said on Thursday.,373,Christians (Nigeria) - Muslims (Nigeria),373,Christians (Nigeria) - Muslims (Nigeria),Christians (Nigeria),1899,Muslims (Nigeria),1900,Jalingo town  Taraba State,1,Nigeria,NGA,566,475,Africa,Taraba,Jalingo,8.883333,11.366667,,142223,3/13/1992,3/13/1992,1,1,0,0,0,200,200,200,4,0,20373,POINT(11.366667 8.883333)
18526,NIG-1992-2-366-1.1,1992,1,clear,2,Reuters news  19-May-92 ""MORTUARIES OVERFLOW IN RIOT-TORN NIGERIAN CITY."",,366,Hausa - Kataf,366,Hausa - Kataf,Hausa,1462,Kataf,1893,Kaduna town  Kaduna State,1,Nigeria,NGA,566,475,Africa,Kaduna,Kaduna North,10.522239,7.43828,,145095,5/15/1992,5/16/1992,2,3,0,0,0,23,23,150,23,1,20366,POINT(7.43828 10.522239)
18527,NIG-1992-2-366-1.2,1992,1,clear,2,"Reuters news, 19-May-92, ""MORTUARIES OVERFLOW IN RIOT-TORN NIGERIAN CITY.""",,366,Hausa - Kataf,366,Hausa - Kataf,Hausa,1462,Kataf,1893,Zango-Kataf town  Kaduna State,1,Nigeria,NGA,566,475,Africa,Kaduna,Zangon-Kataf,9.833333,8.4,,143657,5/15/1992,5/16/1992,2,3,0,0,0,23,23,150,23,1,20366,POINT(8.4 9.833333)
18528,NIG-1992-2-262-1,1992,1,clear,2,"Zinn, Anna, ""Theory versus Reality: Civil War Onset and Avoidance in Nigeria since 1960"" inUnderstanding Civil War: Evidence and Analysis.Paul Collier and Nicholas Sambanis 2005. Washington DC",,262,Odtikas - Ogoni,262,Odtikas - Ogoni,Odtikas,1824,Ogoni,1910,Port Harcourt town  Rivers State,1,Nigeria,NGA,566,475,Africa,Rivers,Port Harcourt,4.777423,7.013404,,136455,12/1/1992,12/1/1992,1,1,0,0,0,60,60,60,60,0,20262,POINT(7.013404 4.777423)
18530,NIG-1993-2-259-1,1993,0,clear,2,Reuters news  9-Feb-93,Local official cited in local newspaper,259,Tiv - Junkun,259,Tiv - Junkun,Tiv,1911,Junkun,1821,Wukari area  Taraba state,3,Nigeria,NGA,566,475,Africa,Taraba,Wukari,7.85,9.783333,Wukari town used as centroid for Wukari LGA.,140780,2/6/1993,2/6/1993,1,1,0,0,0,7,7,7,7,0,20259,POINT(9.783333 7.85)
18533,NIG-1993-3-475-1,1993,0,clear,3,Reuters 1993-07-07,witnesses,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,Lagos town  Lagos State (Muslim slum in),1,Nigeria,NGA,566,475,Africa,Lagos,Lagos,6.453056,3.395833,,138607,7/7/1993,7/7/1993,1,1,0,0,2,0,2,2,2,0,30475,POINT(3.395833 6.453056)
18590,NIG-1997-2-86-7.1,1997,1,clear,2,Reuters 28-Apr-97,,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Ebrohime village  Delta state,1,Nigeria,NGA,566,475,Africa,Delta,Warri North,5.883152,5.174978,,137891,4/28/1997,4/28/1997,1,1,0,0,0,3,3,3,3,1,20086,POINT(5.174978 5.883152)
18534,NIG-1993-2-249-1,1993,1,clear,2,"Reuters, 1993-09-27, ""Group claims massacre of oil community"", Zinn, Anna, ""Theory versus Reality: Civil War Onset and Avoidance in Nigeria since 1960"" inUnderstanding Civil War: Evidence and Analysis.Paul Collier and Nicholas Sambanis 2005. Washington DC",official of the Movement for the Survival of Ogoni People (MOSOP),249,Adoni - Ogoni,249,Adoni - Ogoni,Adoni,1808,Ogoni,1910,Rivers state (Andoni River),4,Nigeria,NGA,566,475,Africa,Rivers,,4.75,6.833333,Coordinates for Rivers state,136454,7/10/1993,7/20/1993,4,1,0,123,0,0,123,123,123,0,20249,POINT(6.833333 4.75)
18535,NIG-1993-2-249-2,1993,1,clear,2,"Reuters, 1993-09-27, ""Group claims massacre of oil community"", Zinn, Anna, ""Theory versus Reality: Civil War Onset and Avoidance in Nigeria since 1960"" inUnderstanding Civil War: Evidence and Analysis.Paul Collier and Nicholas Sambanis 2005. Washington DC",official of the Movement for the Survival of Ogoni People (MOSOP),249,Adoni - Ogoni,249,Adoni - Ogoni,Adoni,1808,Ogoni,1910,Rivers state,4,Nigeria,NGA,566,475,Africa,Rivers,,4.75,6.833333,,136454,9/14/1993,9/14/1993,1,1,0,800,0,0,800,1000,800,0,20249,POINT(6.833333 4.75)
18536,NIG-1993-2-249-3,1993,1,clear,2,"Reuters, 1993-09-27, ""Group claims massacre of oil community"", Zinn, Anna, ""Theory versus Reality: Civil War Onset and Avoidance in Nigeria since 1960"" inUnderstanding Civil War: Evidence and Analysis.Paul Collier and Nicholas Sambanis 2005. Washington DC", Andoni spokesman,249,Adoni - Ogoni,249,Adoni - Ogoni,Adoni,1808,Ogoni,1910,Rivers state,4,Nigeria,NGA,566,475,Africa,Rivers,,4.75,6.833333,,136454,9/14/1993,9/20/1993,0,2,39,0,0,0,39,200,39,0,20249,POINT(6.833333 4.75)
18538,NIG-1993-2-265-1,1993,1,clear,2,"Zinn, Anna, ""Theory versus Reality: Civil War Onset and Avoidance in Nigeria since 1960"" inUnderstanding Civil War: Evidence and Analysis.Paul Collier and Nicholas Sambanis 2005. Washington DC",,265,Ogoni - Okrika,265,Ogoni - Okrika,Ogoni ,1910,Okrika,1912,Port Harcourt town  Rivers State,1,Nigeria,NGA,566,475,Africa,Rivers,Port Harcourt,4.777423,7.013404,,136455,12/1/1993,12/31/1993,0,2,0,0,0,90,90,90,90,0,20265,POINT(7.013404 4.777423)
18541,NIG-1994-2-263-1,1994,1,clear,2,"Zinn, Anna, ""Theory versus Reality: Civil War Onset and Avoidance in Nigeria since 1960"" inUnderstanding Civil War: Evidence and Analysis.Paul Collier and Nicholas Sambanis 2005. Washington DC",,263,Ogoni - Okoloma,263,Ogoni - Okoloma,Ogoni ,1910,Okoloma,1825,Rivers state,4,Nigeria,NGA,566,475,Africa,Rivers,,4.75,6.833333,,136454,4/1/1994,4/30/1994,0,2,0,0,0,30,30,30,30,0,20263,POINT(6.833333 4.75)
18546,NIG-1994-3-475-1,1994,0,clear,3,Reuters 1994-07-07,witness,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,"Lagos town, Lagos State (Tinubu Square, central Lagos)",1,Nigeria,NGA,566,475,Africa,Lagos,Lagos,6.453056,3.395833,,138607,7/7/1994,7/7/1994,1,1,0,0,0,0,0,1,0,0,30475,POINT(3.395833 6.453056)
18549,NIG-1994-3-475-3,1994,0,clear,3,Reuters 1994-07-28,Campaign for Democracy pressure group,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,Lagos town  Lagos State (Oworonshoki area of),1,Nigeria,NGA,566,475,Africa,Lagos,Lagos,6.453056,3.395833,,138607,7/28/1994,7/28/1994,1,1,0,0,0,0,0,1,0,0,30475,POINT(3.395833 6.453056)
18563,NIG-1996-2-260-1,1996,1,clear,2,Reuter 14-Apr-96 ""Nigeria clashes kill 80  thousands flee - agency."",NAN and police commisioner,260,Karimjo - Fulani,260,Karimjo - Fulani,Karimjo,1822,Fulani,1461,Karim Lamido area  Taraba State,3,Nigeria,NGA,566,475,Africa,Taraba,Karim Lamido,9.3,11.2,Coordinates for Karim Lamido area.,142943,4/3/1996,4/14/1996,0,2,0,0,0,80,80,80,40,0,20260,POINT(11.2 9.3)
18569,NIG-1996-2-373-1,1996,0,clear,2,"Zinn, Anna, ""Theory versus Reality: Civil War Onset and Avoidance in Nigeria since 1960"" inUnderstanding Civil War: Evidence and Analysis.Paul Collier and Nicholas Sambanis 2005. Washington DC",,373,Christians (Nigeria) - Muslims (Nigeria),373,Christians (Nigeria) - Muslims (Nigeria),Christians (Nigeria),1899,Muslims (Nigeria),1900,Kafachan town  Kaduna state,1,Nigeria,NGA,566,475,Africa,Kaduna,Zangon-Kataf,9.583333,8.3,,143657,9/1/1996,9/1/1996,1,1,0,0,0,2,2,2,2,0,20373,POINT(8.3 9.583333)
18578,NIG-1997-3-475-1,1997,0,clear,3,NTA TV/BBC 1997-03-26,Nigerian TV/Nigerian Navy,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,Warri town  Delta state,1,Nigeria,NGA,566,475,Africa,Delta,Warri South,5.5167,5.75,,137892,3/23/1997,3/23/1997,1,1,0,0,0,0,0,1,0,0,30475,POINT(5.75 5.5167)
18579,NIG-1997-2-258-1,1997,0,clear,2,Reuters 2-Apr-97,Daily times,258,Ijaw - Urhobo,258,Ijaw - Urhobo,Ijaw,1477,Urhobo,1820,Delta state,4,Nigeria,NGA,566,475,Africa,Delta,,5.5,6,,137893,3/24/1997,3/30/1997,0,2,0,0,0,19,19,19,19,0,20258,POINT(6 5.5)
18580,NIG-1997-2-86-1,1997,1,clear,2,Reuters 2-Apr-97,,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Warri town  Delta state,1,Nigeria,NGA,566,475,Africa,Delta,Warri South,5.5167,5.75,,137892,3/24/1997,3/30/1997,3,1,0,0,0,3,3,3,3,0,20086,POINT(5.75 5.5167)
18584,NIG-1997-2-86-2,1997,1,clear,2,Reuters 17-Apr-97,local newspaper,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Ikpokpogri village  Delta state,1,Nigeria,NGA,566,475,Africa,Delta,Okpe,5.681275,5.74147,Ikpokpo village likely refers to Ikpokpogri village.,137892,4/12/1997,4/12/1997,1,1,0,0,0,41,41,44,41,0,20086,POINT(5.74147 5.681275)
18586,NIG-1997-2-86-3,1997,1,clear,2,Reuters 19-Apr-97,local newspaper,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Ugbuwagbwe village  Delta state,1,Nigeria,NGA,566,475,Africa,Delta,Warri South,5.521208,5.717213,,137892,4/18/1997,4/18/1997,1,1,0,0,0,5,5,5,5,0,20086,POINT(5.717213 5.521208)
18587,NIG-1997-2-86-4,1997,1,clear,2,Reuters 21-Apr-97,,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Warri town (area)  Delta state,2,Nigeria,NGA,566,475,Africa,Delta,Warri South,5.5167,5.75,,137892,4/21/1997,4/21/1997,1,1,0,0,0,8,8,8,8,0,20086,POINT(5.75 5.5167)
18588,NIG-1997-2-86-5,1997,1,clear,2,Reuters 23-Apr-97,,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Warri town (area)  Delta state,2,Nigeria,NGA,566,475,Africa,Delta,Warri South,5.5167,5.75,,137892,4/23/1997,4/23/1997,1,1,0,0,0,4,4,4,4,0,20086,POINT(5.75 5.5167)
18598,NIG-1997-3-475-3,1997,0,clear,3,Reuters 1997-07-19  ""Nigerian soldier to be tried for killing Ogoni man. "",army commander,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,"Ogoniland, , Rivers State (southeastern Nigeria)",5,Nigeria,NGA,566,475,Africa,Rivers,,4.733922,7.230038,"Ogoniland is not a specified ADM1 or ADM2, so the coordinate is estimated on the town of Ogoni, which is the heartland of what is called ""Ogoniland"".",136455,7/12/1997,7/12/1997,1,1,0,0,1,0,1,1,1,0,30475,POINT(7.230038 4.733922)
18601,NIG-1997-2-256-1,1997,1,clear,2,Reuters 20-Aug-97,,256,Ife - Modakeke,256,Ife - Modakeke,Ife ,1817,Modakeke,1818,Ife town  Osun state,1,Nigeria,NGA,566,475,Africa,Osun,Ife Central,7.466667,4.566667,,140050,8/16/1997,8/19/1997,2,3,0,0,0,65,65,65,65,0,20256,POINT(4.566667 7.466667)
18602,NIG-1997-2-256-2,1997,1,clear,2,Reuters 25-Sep-97,independent newspaper,256,Ife - Modakeke,256,Ife - Modakeke,Ife ,1817,Modakeke,1818,Ife town  Osun state,1,Nigeria,NGA,566,475,Africa,Osun,Ife Central,7.466667,4.566667,,140050,9/22/1997,9/24/1997,2,3,0,0,0,30,30,30,30,0,20256,POINT(4.566667 7.466667)
18603,NIG-1997-3-475-4,1997,0,clear,3,Reuters 1997-10-02,witnesses,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,Ekeremor town  Bayelsa State,1,Nigeria,NGA,566,475,Africa,Bayelsa,"Ekeremor ",5.055631,5.780063,,137172,9/30/1997,9/30/1997,1,1,0,0,1,0,1,1,1,0,30475,POINT(5.780063 5.055631)
18605,NIG-1997-2-256-3,1997,1,clear,2,Reuters 12-Nov-97,,256,Ife - Modakeke,256,Ife - Modakeke,Ife ,1817,Modakeke,1818,Ife town  Osun state,1,Nigeria,NGA,566,475,Africa,Osun,Ife Central,7.466667,4.566667,,140050,11/10/1997,11/11/1997,0,2,0,0,0,8,8,8,8,0,20256,POINT(4.566667 7.466667)
18607,NIG-1997-2-256-4,1997,1,clear,2,Reuters 8-Dec-97,,256,Ife - Modakeke,256,Ife - Modakeke,Ife ,1817,Modakeke,1818,Ife town  Osun state,1,Nigeria,NGA,566,475,Africa,Osun,Ife Central,7.466667,4.566667,,140050,12/2/1997,12/8/1997,0,2,0,0,0,35,35,35,35,0,20256,POINT(4.566667 7.466667)
18609,NIG-1997-2-256-5,1997,1,clear,2,Reuters 31-Dec-97,local newspaper,256,Ife - Modakeke,256,Ife - Modakeke,Ife ,1817,Modakeke,1818,"Ife town, Osun state (near, Otin village)",2,Nigeria,NGA,566,475,Africa,Osun,Ife Central,7.466667,4.566667,Unknown location  coded as near Ife town.,140050,12/29/1997,12/29/1997,1,1,0,0,0,6,6,6,6,0,20256,POINT(4.566667 7.466667)
18612,NIG-1998-2-256-1,1998,1,clear,2,Reuters 27-Jan-98,local newspaper,256,Ife - Modakeke,256,Ife - Modakeke,Ife ,1817,Modakeke,1818,Ife town  Osun state,1,Nigeria,NGA,566,475,Africa,Osun,Ife Central,7.466667,4.566667,,140050,1/26/1998,1/26/1998,1,1,0,0,0,8,8,8,8,0,20256,POINT(4.566667 7.466667)
18616,NIG-1998-2-258-1,1998,1,clear,2,BBC  referred to in Minorities at Risk database,,258,Ijaw - Urhobo,258,Ijaw - Urhobo,Ijaw,1477,Urhobo,1820,Oboro village  Delta state,1,Nigeria,NGA,566,475,Africa,Delta,Bomadi,5.187601,5.880154,,137172,3/20/1998,3/20/1998,1,1,0,0,0,30,30,30,30,0,20258,POINT(5.880154 5.187601)
18617,NIG-1998-3-475-1,1998,0,clear,3,Reuters 1998-04-15,witnesses,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,Ibadan town  Oyo state,1,Nigeria,NGA,566,475,Africa,Oyo,Ibadan North,7.387778,3.896389,,140048,4/15/1998,4/15/1998,1,1,0,0,0,0,0,2,0,0,30475,POINT(3.896389 7.387778)
18619,NIG-1998-3-475-3,1998,0,clear,3,Reuters 1998-04-21,witnesses/police,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,Kaduna town  Kaduna State,1,Nigeria,NGA,566,475,Africa,Kaduna,Kaduna North,10.522239,7.43828,,145095,4/20/1998,4/20/1998,1,1,0,0,0,0,0,12,0,0,30475,POINT(7.43828 10.522239)
18622,NIG-1998-3-475-4,1998,0,clear,3,Reuters 1998-05-01,witnesses,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,Ibadan town  Oyo state,1,Nigeria,NGA,566,475,Africa,Oyo,Ibadan North,7.387778,3.896389,,140048,5/1/1998,5/1/1998,1,1,0,0,0,0,0,7,0,0,30475,POINT(3.896389 7.387778)
18623,NIG-1998-2-256-3,1998,1,clear,2,Reuters 6-Aug-98,newspaper,256,Ife - Modakeke,256,Ife - Modakeke,Ife ,1817,Modakeke,1818,Osun State,4,Nigeria,NGA,566,475,Africa,Osun,,7.5,4.5,Only southwest Nigeria stated in the sources  but clashes between the Ife and Modakeke during this year took place in Osun state.,140770,8/4/1998,8/5/1998,0,2,0,0,0,5,5,5,5,0,20256,POINT(4.5 7.5)
18624,NIG-1998-3-475-5,1998,0,clear,3,Radio Nigeria-Kaduna/BBC 1998-06-01,Radio Nigeria-Kaduna,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,Kano State (roadblock along the Kano-Zaria route by a village near Kuanat Angura),4,Nigeria,NGA,566,475,Africa,Kano,,11.5,8.5,Unknown location  coded by ADM1,146538,5/28/1998,5/28/1998,1,1,0,0,0,0,0,3,0,0,30475,POINT(8.5 11.5)
18625,NIG-1998-3-475-6,1998,0,clear,3,Xinhua 1998-06-21,witnesses,475,Government of Nigeria - civilians,475,Government of Nigeria - civilians,Government of Nigeria,475,civilians,9999,Ibadan town  Oyo State (near Agodi prison in),1,Nigeria,NGA,566,475,Africa,Oyo,Ibadan North,7.387778,3.896389,,140048,6/20/1998,6/20/1998,1,1,0,0,14,0,14,14,14,0,30475,POINT(3.896389 7.387778)
18626,NIG-1998-2-86-1,1998,0,clear,2,Reuters 8-jul-98,local officials,86,Ijaw - Itsekiri,86,Ijaw - Itsekiri,Ijaw,1477,Itsekiri,1480,Warri town  Delta state,1,Nigeria,NGA,566,475,Africa,Delta,Warri South,5.5167,5.75,,137892,7/4/1998,7/6/1998,2,3,0,0,0,14,14,14,14,0,20086,POINT(5.75 5.5167)
18628,NIG-1998-2-79-1,1998,1,clear,2,"Zinn, Anna, ""Theory versus Reality: Civil War Onset and Avoidance in Nigeria since 1960"" inUnderstanding Civil War: Evidence and Analysis.Paul Collier and Nicholas Sambanis 2005. Washington DC Source 2: Rioting in parts of Lagos after Abiola death. Reuters News 7 July 1998",,79,Hausa - Yoruba,79,Hausa - Yoruba,Hausa,1462,Yoruba,1562,Lagos town. Lagos State,1,Nigeria,NGA,566,475,Africa,Lagos,Lagos,6.453056,3.395833,,138607,7/7/1998,7/13/1998,0,2,0,0,0,55,55,95,55,0,20079,POINT(3.395833 6.453056)
